Already have 9057 triples. Starting at idx 229162
Iteration: 230003, Elapsed Time: 863.20 seconds, Entries: 9088
Iteration: 231003, Elapsed Time: 1129.04 seconds, Entries: 9120
Iteration: 232003, Elapsed Time: 1463.24 seconds, Entries: 9159
Iteration: 236003, Elapsed Time: 3908.02 seconds, Entries: 9326
Iteration: 239003, Elapsed Time: 5233.47 seconds, Entries: 9442
Iteration: 240003, Elapsed Time: 6161.84 seconds, Entries: 9485
Iteration: 241003, Elapsed Time: 7110.71 seconds, Entries: 9529
Iteration: 243003, Elapsed Time: 8660.11 seconds, Entries: 9605
Iteration: 245003, Elapsed Time: 9530.67 seconds, Entries: 9679
Iteration: 247003, Elapsed Time: 10217.16 seconds, Entries: 9762
Iteration: 249003, Elapsed Time: 11013.49 seconds, Entries: 9843
Iteration: 255003, Elapsed Time: 13153.10 seconds, Entries: 10071
Iteration: 256003, Elapsed Time: 13331.83 seconds, Entries: 10104
Iteration: 260003, Elapsed Time: 14430.31 seconds, Entries: 10261
