Already have 8228 triples. Starting at idx 225858
Iteration: 226009, Elapsed Time: 49.71 seconds, Entries: 8233
Iteration: 227009, Elapsed Time: 555.76 seconds, Entries: 8270
Iteration: 228009, Elapsed Time: 1189.28 seconds, Entries: 8300
Iteration: 229009, Elapsed Time: 1779.67 seconds, Entries: 8343
Iteration: 233009, Elapsed Time: 4375.27 seconds, Entries: 8469
Iteration: 234009, Elapsed Time: 4943.21 seconds, Entries: 8510
Iteration: 240009, Elapsed Time: 8101.36 seconds, Entries: 8734
Iteration: 241009, Elapsed Time: 8560.70 seconds, Entries: 8764
Iteration: 243009, Elapsed Time: 9588.59 seconds, Entries: 8828
Iteration: 244009, Elapsed Time: 9871.03 seconds, Entries: 8868
Iteration: 245009, Elapsed Time: 10343.83 seconds, Entries: 8896
Iteration: 248009, Elapsed Time: 11680.80 seconds, Entries: 9018
Iteration: 250009, Elapsed Time: 12303.11 seconds, Entries: 9082
Iteration: 251009, Elapsed Time: 12823.50 seconds, Entries: 9115
Iteration: 253009, Elapsed Time: 13841.44 seconds, Entries: 9192
