Already have 7628 triples. Starting at idx 214239
Iteration: 217010, Elapsed Time: 1556.37 seconds, Entries: 7729
Iteration: 219010, Elapsed Time: 3039.86 seconds, Entries: 7813
Iteration: 220010, Elapsed Time: 3683.74 seconds, Entries: 7854
Iteration: 222010, Elapsed Time: 5283.19 seconds, Entries: 7922
Iteration: 224010, Elapsed Time: 6358.86 seconds, Entries: 7994
Iteration: 225010, Elapsed Time: 7102.69 seconds, Entries: 8036
Iteration: 235010, Elapsed Time: 11795.08 seconds, Entries: 8388
Iteration: 238010, Elapsed Time: 12470.75 seconds, Entries: 8492
Iteration: 239010, Elapsed Time: 12730.89 seconds, Entries: 8518
Iteration: 243010, Elapsed Time: 14199.52 seconds, Entries: 8669
